author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1YJ411c7Dz,白宫前官员评特朗普：中国人在笑，这家伙在埋葬美国,4958873,24109,19514,9607,1568613075
观察者网,BV1At411u7uZ,"<em class=""keyword"">特朗普</em>： 香港暴乱是中国内政 不关别人的事",10533105,8338,42334,9003,1564730883
观察者网,BV1At411u7uZ,特朗普： 香港暴乱是中国内政 不关别人的事,10533105,8338,42334,9003,1564730883
共青团中央,BV1kt411P7eQ,【喷饭③ 占领搞笑区】今日新闻联播，请笑……哈哈哈哈嗝,1782527,13201,20176,7788,1564230199
观察者网,BV1rt411T7Zo,美国得州沃尔玛枪击案已致20人死亡，枪手已被捕,1116276,4739,1928,7008,1564886109
观察者网,BV13t411c75k,"美19岁枪手扫射庆典人群致3死，<em class=""keyword"">特朗普</em>向受害者致哀",661021,3518,994,5697,1564457475
观察者网,BV1NJ411t7dC,"弹劾投票前夜，美国多地举行反<em class=""keyword"">特朗普</em>游行",391716,1805,1523,4029,1576670969
观察者网,BV1C441197yH,"为挑起中美贸易冲突辩解，<em class=""keyword"">特朗普</em>：我是天选之人！",435040,43,1696,3849,1566467866
观察者网,BV174411z7CB,特朗普称自己有德国血统，默克尔：噗！,4122930,3306,13434,3833,1566980541
湖人冠,BV1JJ411M7CN,美国记者:您想统治世界是吧？普京:我想统治世界，但统治世界的人不在我这,8857293,2372,16072,3742,1569209488
观察者网,BV1YJ41117t7,特朗普：我们国家没有新闻自由,880516,2388,5741,3740,1574217169
亚食人,BV1Mt411E7au,"【哪吒之魔童降世】你说制作组开挂我都信！知道太乙真人为啥说<em class=""keyword"">川普</em>么？无剧透~",1665241,7013,11681,3717,1563941148
观察者网,BV1tt411A7SW,"家乡遭<em class=""keyword"">特朗普</em>侮辱 CNN主持人节目中哽咽",1124310,5043,3144,3715,1564414983
观察者网,BV1aJ411t7dT,"美众议院通过表决，弹劾<em class=""keyword"">特朗普</em>！",1284284,2955,3603,3714,1576723292
观察者网,BV1tt41177a8,“10天内就能铲平阿富汗，但我不想”,550674,2414,1492,3667,1563847036
青春山东,BV1XE411q7Gm,杠上了？纽约爆发大规模反警示威游行，特朗普表态：我支持警察！,1329610,6042,2394,3613,1572860772
观察者网,BV1Gt411G7gQ,特朗普再怼女议员：讨厌美国就走啊！,1181485,3265,4559,3551,1563245610
中国日报,BV1v4411Z77r,希拉里说要支持香港示威者为民主自由发声，脸不疼吗？,681716,4371,2833,3498,1566001800
观视频工作室,BV1Y4411Q7RC,"【一勺思想】<em class=""keyword"">特朗普</em>只想要中国的钱，但确实有群美国人想要命",584680,8,9699,3434,1565615748
观察者网,BV1yt41177dh,新任英国首相选出，特朗普马上发推祝贺,481254,1014,1136,3228,1563887649
观察者网,BV1xJ411x7e1,那个把特朗普当神的印度男子又来了！,846553,1654,2449,3226,1577172711
JESUSCHRIST_,BV13t411w7w1,"幼儿园小孩看见<em class=""keyword"">特朗普</em>被吓哭",4697644,3353,81387,3221,1564562504
马督工,BV1qJ411h73a,"【睡前消息59】年终盘点（上）：2019年，“<em class=""keyword"">特朗普</em>三年”？",863137,14764,6884,3221,1577797830
观察者网,BV1sJ411t7yC,“没感觉┑(￣Д ￣)┍”,533054,809,1525,3176,1576727150
观察者网,BV16E411h7FZ,“芝加哥去年565人被杀，阿富汗都比这安全”,2548375,2374,6758,3076,1572351459
观察者网,BV1Vt411u79i,"骁话一下：<em class=""keyword"">特朗普</em>狂喷巴尔的摩，这座革命老区为何沦落至今？",766276,4846,4520,3050,1564799424
观察者网,BV1pJ411h7Ts,瑞典环保少女：不想和特朗普说话，不想浪费时间,828945,2210,1704,3048,1577771584
观察者网,BV18t411g7cy,"谷歌被指与中国合作涉嫌“叛国”，<em class=""keyword"">特朗普</em>也来插一脚",763661,1156,1461,2955,1563353921
观察者网,BV1aJ411B79J,"拜登“补刀”：你们看全世界都在笑<em class=""keyword"">特朗普</em>",390564,765,1307,2924,1575519628
观察者网,BV1FJ411u7qJ,"<em class=""keyword"">特朗普</em>：我做了很多能拿诺贝尔奖的事，凭啥奥巴马有我没有",1368006,2609,5604,2861,1569316818
观视频工作室,BV1nJ41147Kc,【一勺思想】美国：众所周知，美债好就好在我们不用还,559328,3964,9308,2861,1576924164
观察者网,BV11E411r7Z3,特朗普一句：“去叙利亚玩沙子吧！”把女翻译整懵了,7276743,1636,18967,2853,1571390302
观察者网,BV1AE411h7yU,特朗普证实IS头目巴格达迪死亡：他死得像条狗,1789884,4789,8179,2826,1572231215
观察者网,BV1cJ411t7it,弹劾表决在即 特朗普：持续三年的政治迫害,316949,968,610,2794,1576641561
观察者网,BV1q441197Wf,想买格陵兰岛被丹麦首相批荒谬，特朗普：你这话可是对美国说的,513375,1710,1370,2764,1566442824
中国日报,BV1QE411272y,有毒！美国95%婴儿食品重金属含量超标,131954,489,941,2558,1571795935
中国日报,BV1mt411u7NR,美国华裔总统竞选人表现不俗 誓言击败特朗普,345150,1108,903,2433,1564830220
共青团中央,BV1Pt411A7Jx,美国发起贸易战是要保护费？是来要命！【强国学堂 第一集】,477857,6,6538,2421,1564382740
观察者网,BV1PJ411x785,“全知全能”特朗普：没人比我更懂风车 制造风车产生很多烟,449145,2921,1670,2400,1577111815
广东共青团,BV1XE411Q7Wn,实锤了！普京你是真的皮！！！,7054855,2915,57472,2383,1570088464
浙江共青团,BV1ht411u778,特朗普一句大实话，扎了香港谁人心？,1876971,2209,7881,2357,1564807677
观察者网,BV1y4411c7sE,特朗普说1775年美国就有机场了 比莱特兄弟首飞早了128年...,392821,1405,1536,2349,1562385691
观察者网,BV1KJ41117NT,特朗普将抗议者赶出集会现场：我们才不要政治正确,550487,906,1878,2346,1576041106
观察者网,BV1aJ41137XN,特朗普自夸边境墙：世界级！,673513,1718,1512,2331,1568900153
观察者网,BV1xt41157DC,"<em class=""keyword"">特朗普</em>这是……要重新定义生物学？",401208,1202,1437,2255,1562825050
观察者网,BV1HJ411u7AQ,佩洛西宣布启动弹劾调查 特朗普：政治迫害！,428535,2350,1103,2249,1569383321
