author,bvid,title,play,video_review,favorites,review,date
波士顿圆脸,BV1bZ421T7LY,"突发：<em class=""keyword"">特朗普</em>遭枪击刺杀 枪手被击毙两死一重伤",6146114,38354,29950,25730,1720919134
波士顿圆脸,BV1bZ421T7LY,突发：特朗普遭枪击刺杀 枪手被击毙两死一重伤,6146114,38354,29950,25730,1720919134
波士顿圆脸,BV1BBDGYAEcF,"<em class=""keyword"">懂王</em>狂胜横扫哈里斯 分立三权全面拿下会如何？",4138036,24986,21222,15493,1730878825
央视新闻,BV1waDGYMEHY,特朗普宣布胜选,5450904,13339,32004,15193,1730879195
环球网,BV1Py411B7BW,特朗普竞选现场响起枪声，特朗普被保镖按倒在地，脸上血迹清晰可见，现场观众尖叫不停,3337269,1949,11235,10602,1720911461
麻薯波比呀,BV19PDGYxEqX,至高无上的懂王陛下于今日抵达自己忠诚的美帝,4692614,61118,56517,10017,1730883348
麻薯波比呀,BV19PDGYxEqX,至高无上的懂王陛下于今日抵达自己忠诚的美帝,4692614,61118,56517,10017,1730883348
麻薯波比呀,BV1x2DBYXEKK,"<em class=""keyword"">特朗普</em>的复兴之路，MAGA如何夺得美国正统？",4143856,21719,66593,9336,1731146850
麻薯波比呀,BV1x2DBYXEKK,特朗普的复兴之路，MAGA如何夺得美国正统？,4143856,21719,66593,9336,1731146850
央视新闻,BV1zvDGYNEBf,美媒测算：特朗普已获至少270张选举人票,1570380,3236,4565,9335,1730877538
梗指南,BV1aMmUYUEpb,无孩爱猫女是什么梗【梗指南】,1394219,4071,17593,9320,1731324964
波士顿圆脸,BV1kzD8YxEzR,天降神迹：万一美国大选打平了怎么办？,2114006,5733,5893,9099,1730805330
环球网,BV1L6421f7Ej,特朗普遭枪击定性为“暗杀未遂”，枪手是名狙击手已被击毙，特朗普被子弹擦伤,2445280,1261,4180,8967,1720918512
燕三嘤嘤嘤,BV1PyD1YMEqv,"<em class=""keyword"">懂王</em>上台了对谁不利",6140301,29307,44425,8908,1730986214
熊猫围观Pan-da-Watch,BV1Nd2iYNEFR,奥巴马仅用5分钟就得罪了黑人选民,4067393,21107,20301,8728,1728807069
熊猫围观Pan-da-Watch,BV1Nd2iYNEFR,奥巴马仅用5分钟就得罪了黑人选民,4067393,21107,20301,8728,1728807069
熊猫围观Pan-da-Watch,BV1Nd2iYNEFR,奥巴马仅用5分钟就得罪了黑人选民,4067393,21107,20301,8728,1728807069
波士顿圆脸,BV1vE421F7Dh,突发：拜登退选 民主党呼吁全力支持哈里斯,2266581,22402,8633,8467,1721616776
小王Albert,BV16zD5YgE5C,闪电般归来，特朗普三权一统，“皇帝”回到忠诚的华盛顿,4028667,12497,27693,8356,1730890661
波士顿圆脸,BV1mT421r7hk,"刺杀<em class=""keyword"">懂王</em>24小时后 你应该知道的答案与看点总结",2687757,28530,14482,7752,1721037100
环球网,BV1TnDGY1Esb,"<em class=""keyword"">特朗普</em>赢得2024总统大选，当选新一任美国总统",1383303,2529,5701,7418,1730875933
波士顿圆脸,BV1A4421f7wr,"不共戴天：马斯克好大儿被民主党变性月助选<em class=""keyword"">懂王</em>4500万？",1813733,16656,7771,7211,1721905839
JacksonHinkle,BV12T42167bt,要让星火燎原——美国共产党？不，我们是美国人民的共产党！,2930602,17887,95004,7207,1721709057
JacksonHinkle,BV12T42167bt,要让星火燎原——美国共产党？不，我们是美国人民的共产党！,2930605,17887,95004,7207,1721709057
自律兿术家,BV1JqmDYqExY,"<em class=""keyword"">川普</em>上台执政将优先处理我国润人",844474,7619,1648,6932,1731642480
自律兿术家,BV1JqmDYqExY,川普上台执政将优先处理我国润人,844475,7619,1648,6932,1731642480
远方的青木,BV1rm421g75r,宁可亏大钱，马斯克都要灭了LGBT思想,2085051,5689,12023,6538,1723206043
波士顿圆脸,BV12RUTYFERZ,马斯克：政府预算我起码砍一半！政府效率部堂堂登场！,1943730,16108,7140,6536,1731496517
毒舌的南瓜,BV1b4421D74i,美利坚，你们的皇帝回来了！【毒舌的南瓜】,6815281,41425,82684,6428,1721038022
毒舌的南瓜,BV1b4421D74i,美利坚，你们的皇帝回来了！【毒舌的南瓜】,6815286,41425,82684,6428,1721038022
Misaki悉亞,BV11bDjYREs7,"<em class=""keyword"">特朗普</em>胜选后，疯狂庆祝的马斯克♂be like",2435404,2791,43654,6291,1730948400
Misaki悉亞,BV11bDjYREs7,特朗普胜选后，疯狂庆祝的马斯克♂be like,2435404,2791,43654,6291,1730948400
波士顿圆脸,BV1UVUaYPEqz,"欢乐开怀：选后宾州哈里斯票数飚增追上<em class=""keyword"">懂王</em> 官员直呼：违法计票怎么着？",2794018,10668,6947,6182,1731754540
戏京同志,BV1bXtFe1E7q,"科技皇冠，<em class=""keyword"">特朗普</em>节节败退，美国黄昏势不可挡？",764547,3317,4439,6182,1726238774
麻薯波比呀,BV1b4CXY7Eri,"美国大选将近，公开站台，马斯克为何豪赌<em class=""keyword"">懂王</em>？",4200982,13647,22148,6111,1729308810
麻薯波比呀,BV1b4CXY7Eri,美国大选将近，公开站台，马斯克为何豪赌懂王？,4200989,13647,22148,6111,1729308810
麻薯波比呀,BV17VUhYLEfZ,LGBT的天塌了，政治正确不正确，念经救不了美国？,2656735,19036,20210,6057,1731727860
波士顿圆脸,BV15A4zebEz3,"<em class=""keyword"">懂王</em>哈里斯战后分析 泰勒斯威夫特正式归票民主党",1878166,18639,7996,5857,1726054281
储殷教授,BV17rS7YkE5A,川普大概率输掉宾州，共和党七个摇摆州领先纯扯,430019,3182,1388,5715,1730358897
储殷教授,BV17rS7YkE5A,川普大概率输掉宾州，共和党七个摇摆州领先纯扯,430019,3182,1388,5715,1730358897
猫村猫村,BV13usLeJEQJ,美国“妈妈”换称呼了，天下苦zzzq久矣！,1345709,4348,7317,5714,1724815800
精罗伯爵,BV1f1yVYREg1,哈里斯阵营恐慌，懂王势头来了？民主党大佬晚宴集合、马斯克砸钱助选【精罗视角】,2931807,12524,11870,5669,1729501726
精罗伯爵,BV1f1yVYREg1,哈里斯阵营恐慌，懂王势头来了？民主党大佬晚宴集合、马斯克砸钱助选【精罗视角】,2931807,12524,11870,5669,1729501726
陕西的二蛋,BV1MoURYPERQ,美国一觉睡醒天塌了，论中国如何纵横捭阖，化解美元霸权？,1658765,4893,37957,5506,1732269600
小王Albert,BV1LUSJY1Ecw,预测美国总统不重要了，谁来都是发疯【看大选01】,3543702,12245,31806,5434,1730371372
波士顿圆脸,BV1GeDSYhEVZ,胜选24h：哈里斯欢笑退场，拜登紧急援乌，司法部全力开溜,2999410,26482,10651,5256,1730975852
丰言疯话,BV1a3BiYdE8J,"暴击美式女权和LGBT，<em class=""keyword"">特朗普</em>的二次革命会成功吗？【丰言疯话】",618704,5303,7354,5136,1732276640
熊猫围观Pan-da-Watch,BV1Tgpge4EDA,"哈里斯民调支持率反超<em class=""keyword"">川普</em>，爱笑女孩到底靠实力还是运气？",1579233,9937,8016,5133,1725538982
熊猫围观Pan-da-Watch,BV1Tgpge4EDA,哈里斯民调支持率反超川普，爱笑女孩到底靠实力还是运气？,1579233,9937,8016,5133,1725538982
熊猫围观Pan-da-Watch,BV1Tgpge4EDA,哈里斯民调支持率反超川普，爱笑女孩到底靠实力还是运气？,1579233,9937,8016,5133,1725538982
四川观察,BV12y411e7EY,特朗普承诺赢得选举后将与中国搞好关系，“虽然他们总占我们便宜”,1090880,1833,3053,5089,1723816576
江平舟,BV1rSDoYYEaU,"<em class=""keyword"">特朗普</em>胜选后，拜登笑得比花灿烂，嘴角比AK还难压",3215211,7940,27310,5049,1731067178
SpaceX官网,BV16vU3YbEF1,爆炸性消息！特朗普兑现解密UFO的承诺！众议院听证会证人就UFO计划作证！UFO众议院听证会证人：五角大楼&quot;显然在掩盖什么&quot;！,976583,567,6712,4949,1731558605
精罗伯爵,BV1NoyUYNEea,"哈里斯胡言乱语,马斯克百亿补贴:3000万选民提前投票,倒向懂王？【精罗视角】",1863654,14197,8739,4836,1729844182
精罗伯爵,BV1NoyUYNEea,"哈里斯胡言乱语,马斯克百亿补贴:3000万选民提前投票,倒向懂王？【精罗视角】",1863656,14197,8739,4836,1729844182
你就数绵羊罢,BV1LTDNY3Eqo,世界第一辅助诞生！一己之力VS全美明星阵容！致敬传奇梭哈王与护国公,1121705,1638,21148,4829,1730821533
冯无畏,BV154UdYCE1X,美利坚，你们的“皇帝”要变法，要搞具有中国特色的美国资本主义,1329833,9180,15739,4790,1732242527
SpaceX官网,BV19LDEYGExe,"爆炸性消息！<em class=""keyword"">特朗普</em>摇摆州大胜哈里斯！7大摇摆州爆出惊天逆转！2024美国大选倒计时1天！懂王：不装了，摊牌了！MAGA！|2024.11.04",1817369,489,4073,4771,1730691102
SpaceX官网,BV19LDEYGExe,爆炸性消息！特朗普摇摆州大胜哈里斯！7大摇摆州爆出惊天逆转！2024美国大选倒计时1天！懂王：不装了，摊牌了！MAGA！|2024.11.04,1817369,489,4073,4771,1730691102
光速观察站,BV1Tb1JYREu5,2024年10月28日 | 资讯早班车【马斯克长期与普京保持着联系；大力倡导积极婚恋生育观；电话“催生”，直到生娃为止；酒店“订后即焚”；人情世故导致效率低下】,632200,9427,3131,4767,1730142825
丰言疯话,BV1MJsfeaEF2,当女性更进步时，男性为何纷纷沦为“老保”？【丰言疯话】,953892,3860,12334,4655,1727445908
小Lin说,BV1a9DAYFEqo,"【美国大选】<em class=""keyword"">特朗普</em> vs 哈里斯 经济政策有什么不一样？",3995741,10771,41629,4651,1730538934
刘健儒环游世界,BV1SED5Y9EBz,"<em class=""keyword"">特朗普</em>回答男女问题",1267209,267,1313,4549,1730888849
小王Albert,BV1hJDNYAENJ,美国大选开打！皇帝特朗普vs教父们的哈里斯，两党如何撕裂美国【看大选03】,2952239,12871,31484,4532,1730815384
麻薯波比呀,BV1dEDpYdE82,提前投票结果显示它将会赢得选举！【美国大选2024】,1669768,7485,6934,4484,1730715933
麻薯波比呀,BV1dEDpYdE82,提前投票结果显示它将会赢得选举！【美国大选2024】,1669777,7485,6934,4484,1730715933
名人物语,BV1ui421Y77X,"刺杀<em class=""keyword"">特朗普</em>的，就是这个人，年仅20岁。他叫托马斯·克鲁克斯",2635427,8998,17068,4448,1721045679
安森垚,BV1D7mDYnEa1,"trump为啥翻译成“<em class=""keyword"">特朗普</em>”",1230178,4236,26890,4413,1731594701
波士顿圆脸,BV1AU411S7mZ,"白挨一枪？万斯言论激怒女性，哈里斯民调竟“反超”<em class=""keyword"">懂王</em>",1424480,15288,4990,4385,1722588950
瓜熟迪落拉,BV1UiD3Y1E1H,自私的梦想家赢了 没有脚的鸟飞起来了……吗？【随感1106】,469901,2967,5975,4375,1730884542
央视网快看,BV194D3YQEFn,"<em class=""keyword"">特朗普</em>胜选，臭名昭著的“爱泼斯坦名单”即将公开？",1366484,1014,5621,4278,1730884819
极目新闻,BV1LPUpYJEd6,美国一邮轮公司推出“诺亚方舟”：4年旅行躲避特朗普任期,1311893,431,4088,4278,1731908789
麻薯波比呀,BV1AXDSYEEqu,败选后再胜选，这复仇的滋味多美妙谁能比他更懂？,2722673,12586,16073,4274,1730973503
麻薯波比呀,BV1AXDSYEEqu,败选后再胜选，这复仇的滋味多美妙谁能比他更懂？,2722707,12586,16073,4274,1730973503
波士顿圆脸,BV1Ju1dY5Ekc,政府不救灾，你老百姓也不许自救！马斯克怒喷联邦引争议,1361001,9152,5689,4253,1728119830
麻辣纪子,BV1cJ4m1M7b1,美国总统竞选必修技能,3088120,1910,32786,4215,1721126837
麻辣纪子,BV1cJ4m1M7b1,美国总统竞选必修技能,3088120,1910,32786,4215,1721126837
麻辣纪子,BV1cJ4m1M7b1,美国总统竞选必修技能,3088120,1910,32786,4215,1721126837
小白是个粉刷匠,BV1Kf421i7sS,手绘特朗普美元【遇刺版】,1350058,3383,30968,4190,1721280411
小白是个粉刷匠,BV1Kf421i7sS,"手绘<em class=""keyword"">特朗普</em>美元【遇刺版】",1350058,3383,30968,4190,1721280411
小白是个粉刷匠,BV1Kf421i7sS,手绘特朗普美元【遇刺版】,1350058,3383,30968,4190,1721280411
环球网,BV1SdDGYDESe,"<em class=""keyword"">特朗普</em>再下一关键“摇摆州”宾夕法尼亚州，选举人票+19，266：214领先于哈里斯，距270票胜选仅差4票",605385,375,884,4179,1730875038
波士顿圆脸,BV1Xe49eYEz4,"突发：<em class=""keyword"">懂王</em>打高尔夫再遭刺，枪手携AK被活捉",1642946,5348,5523,4155,1726462003
麻薯波比呀,BV1D2HfewEEe,美国为什么不宣布35万亿债务全部作废?出院！【大美王朝2024】,2184684,12171,16527,4103,1725679983
麻薯波比呀,BV1D2HfewEEe,美国为什么不宣布35万亿债务全部作废?出院！【大美王朝2024】,2184684,12171,16527,4103,1725679983
波士顿圆脸,BV1MqSTYvEHC,"波士顿市长硬刚<em class=""keyword"">懂王</em>：派军队罢！联邦驱逐难民我们不会帮助！",1748382,9324,5880,4100,1732099149
金灿荣教授,BV16W421R79a,特朗普遭枪击！面部血迹斑斑！是他自导自演的吗？,843567,3232,1766,4062,1720928591
波士顿圆脸,BV1djSUYFESQ,瓜熟迪落拉-熊猫围观-波士顿圆脸 选前直播分析回放,1271192,2093,4233,4049,1730659800
丰言疯话,BV1Z4DSYKEc4,"美国底层男性的怒火，把<em class=""keyword"">特朗普</em>送上了王座！【丰言疯话】",519622,6513,8694,4039,1730977509
新华社,BV1Qb421E7b7,特朗普竞选集会现场发生枪击事件,2826914,2062,14310,3982,1720916142
