author,bvid,title,play,video_review,favorites,review,date
敖厂长,BV1Ls411x7Tn,【敖厂长】川普侠,3161897,16192,16017,5472,1478495969
敖厂长,BV1Ls411x7Tn,【敖厂长】川普侠,3161897,16192,16017,5472,1478495969
张召忠,BV14s411x7Dd,"<em class=""keyword"">特朗普</em>，你做好当老二的准备了吗？",556335,21736,3849,3543,1478777435
中国BOY超级大猩猩,BV1us41147R1,总统保镖（Mr.President）丨这个保镖我不干了！,1244468,14014,8236,2478,1476269112
闪电字幕组,BV15s41147Es,"【双语字幕】明星呼吁青少年反对<em class=""keyword"">川普</em>宣传片@闪电字幕组",543615,2537,8081,2162,1476168684
中国BOY超级大猩猩,BV1hs411Y7bs,Totally Accurate Battle Simulator(战争模拟器)#5丨在嘈杂的环境中战斗！,1100708,9551,3479,1927,1480763648
张召忠,BV1Qs411Y7my,局座时评62：珍珠港说去就去了？那安倍你什么时候来南京？！,124007,2623,394,1678,1481196802
图书馆的酥,BV1ks411x7fv,【馆叔】新海诚：《你的美国名字》,309937,3117,12349,1648,1478868980
图书馆的酥,BV1ks411x7fv,【馆叔】新海诚：《你的美国名字》,309937,3117,12349,1648,1478868980
张召忠,BV1Hs411s73V,揭秘中国战忽局的那个人要当总统顾问了，美国开始放大招？,307993,5687,951,1306,1480427618
小卡塔克,BV1es411x7nf,【全明星】最炫民族风,1109699,3769,27173,1144,1478685416
小卡塔克,BV1es411x7nf,【全明星】最炫民族风,1109699,3769,27173,1144,1478685416
江南GS2024,BV19s411W7yg,美国种族问题，白人民族主义者VS黑人Rap小哥,57117,953,632,1123,1480147403
江南GS2024,BV19s411W7yg,美国种族问题，白人民族主义者VS黑人Rap小哥,57117,953,632,1123,1480147403
夜阑笙鸽,BV1Ps411W7f8,"【MMD】唐纳德·<em class=""keyword"">川普</em>的极乐净土",150012,3921,5998,979,1479096730
夜阑笙鸽,BV1Ps411W7f8,【MMD】唐纳德·川普的极乐净土,150012,3921,5998,979,1479096730
观察者网,BV1Zs41147do,特朗普，迎接来自好莱坞的恶意吧！,942284,1034,4660,955,1477298564
宁家小书童,BV1Es411b7pi,【宁采臣】PPAP 四川方言版笑得停不住,400770,4637,7554,932,1475653837
张召忠,BV1js411W753,"一通电话美俄变天，<em class=""keyword"">川普</em>要和普京做好朋友？",202872,5799,835,867,1479389148
张召忠,BV1js411W753,一通电话美俄变天，川普要和普京做好朋友？,202872,5799,835,867,1479389148
张召忠,BV1ts411e7Bb,局座时评63：在中国周边捅的窟窿还没填上呢，奥巴马又在中东给特朗普挖了一个坑～,143805,2078,345,819,1481640849
观察者网,BV1cs411s7wX,安倍被华裔女议员逼问：凭什么信特朗普？,319978,236,828,776,1480068622
7-Uplover,BV1Ws411r75u,"唐纳德·<em class=""keyword"">川普</em>的冰桶挑战",1481679,781,6825,757,1473880475
7-Uplover,BV1Ws411r75u,唐纳德·川普的冰桶挑战,1481681,781,6825,757,1473880475
京鱼鱼,BV1ss411x7fR,特朗普孙女学中文背诵唐诗,2252025,679,7969,744,1478697421
京鱼鱼,BV1ss411x7fR,特朗普孙女学中文背诵唐诗,2252025,679,7969,744,1478697421
柚子木字幕组,BV1Qs41147gt,"【油管头条热门】记者卧底踢爆希拉里选举黑幕 雇黑手阴<em class=""keyword"">川普</em> @柚子木字幕组",63829,999,1542,723,1476953332
大都会黑暗骑士,BV1Js411a7Ax,17乘6等于几？特朗普一家都没算对,93039,218,315,687,1482487080
张召忠,BV1Es411s7Ci,启用退役将领掌控国家外交军事，特朗普在下一盘什么棋？,110768,2305,305,665,1480593061
观察者网,BV1Hs411x7Qf,"齐泽克：<em class=""keyword"">特朗普</em>把我吓坏了，但希拉里才是真正的危险",403337,408,3230,632,1478411189
柚子木字幕组,BV18s411C719,【AllTime10s】改变了历史的10次刺杀 @柚子木字幕组,52233,911,1111,623,1470129456
张召忠,BV1Rs411Y78n,局座时评61：“秘密隧道”曝光！朝鲜说要挥师南下“夷平首尔”~,134216,2548,235,583,1481024937
观察者网,BV1Ws411W7VX,那些吵着特朗普当选的明星……都怂了,337902,632,1603,561,1479289814
xdanger,BV1ks411x7jR,奥巴马吐槽特朗普集锦,420144,2048,4955,538,1478850869
xdanger,BV1ks411x7jR,奥巴马吐槽特朗普集锦,420144,2048,4955,538,1478850869
豪叔1994,BV1xs411x7FJ,"【混剪】<em class=""keyword"">特朗普</em>竟然跑过这么多电影美剧的龙套【豪叔搬运】",1021079,930,9704,524,1478697278
豪叔1994,BV1xs411x7FJ,【混剪】特朗普竟然跑过这么多电影美剧的龙套【豪叔搬运】,1021079,930,9704,524,1478697278
Real麦克老师,BV1js411x7BX,5分钟看懂【美国大选】总想搞点大新闻,120711,709,1466,472,1478512589
Real麦克老师,BV1js411x7BX,5分钟看懂【美国大选】总想搞点大新闻,120711,709,1466,472,1478512589
