author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1Xx411G7Ns,我叔祖父的尸骨躺在珍珠港底 你们却不尊重国歌？美NFL球迷怒了,2131897,4063,8889,5223,1506417983
观察者网,BV11W4118726,这次，美国被全世界“围攻”,822926,1936,2532,3805,1513922592
观察者网,BV1bx411j74q,"<em class=""keyword"">特朗普</em>安倍喂鱼，喂了两勺嫌麻烦直接整盒倒下",5263605,3412,13342,3560,1509955816
环球时报,BV11x411j78q,安倍陪特朗普打高尔夫 摔了一个后滚翻...,842386,2710,9051,3271,1510023371
观察者网,BV1ix411j7DD,美国得州最严重枪击案！嫌犯扫射教堂致26死,199876,631,380,2939,1509937802
观察者网,BV1Fx411J72C,接下去是不是要拆华盛顿和杰斐逊雕像啊？,295704,1141,1904,2931,1502857047
观察者网,BV1jW41187nT,"对中俄想说但憋了很久的话，<em class=""keyword"">特朗普</em>终于忍不住了",1632887,4422,4120,2866,1513651462
环球时报,BV1Yx411b7ES,“反法西斯主义者”都是些什么人？,251460,2601,2512,2439,1503496830
观察者网,BV1zW411Y7iK,"<em class=""keyword"">特朗普</em>承认耶路撒冷为以色列首都 巴勒斯坦人上街烧美国国旗抗议",119237,433,392,2377,1512616022
观察者网,BV1bW411876h,"安倍在东京发表演讲：<em class=""keyword"">特朗普</em>夸我身体很柔软",411113,1008,3119,2372,1513763826
环球时报,BV1tx411J7Cc,真有人要拆华盛顿雕像...还有人要移走三K党头目的遗体...,129876,1342,620,2343,1502978412
环球时报,BV1Px41177Ni,"<em class=""keyword"">特朗普</em>在北京：不怪中国，是往届美国政府的错！",870766,456,3073,2340,1510216871
环球时报,BV1Px41177Ni,特朗普在北京：不怪中国，是往届美国政府的错！,870766,456,3073,2340,1510216871
环球时报,BV16x411G7x7,朝鲜：美国已向朝鲜宣战，我们有权采取任何反击措施,207477,469,569,2332,1506410131
观察者网,BV1Jx411E7C4,"纽约恐袭嫌犯逃跑时刻曝光，<em class=""keyword"">特朗普</em>怒了：别想搞事情！",181804,880,355,2329,1509505578
观察者网,BV1Mx411b7Kx,我的手太大了！特朗普赴得州灾区看望灾民并分发救（le）灾（shi）物（shu）资（pian）,207954,250,563,1952,1504416028
观察者网,BV15x41137Yn,"CNN白宫记者：枪击案受害者多是<em class=""keyword"">特朗普</em>的支持者",84371,364,258,1929,1507001675
环球时报,BV1bx411x7HJ,好莱坞影星摩根·弗里曼录视频 向俄罗斯“宣战”,133209,708,784,1901,1505979373
观察者网,BV1qx411j78g,比起川普倒鱼食 老布什国宴呕吐昏厥才是真的尴尬……,703960,213,3193,1880,1510046348
观察者网,BV1qx411j78g,比起川普倒鱼食 老布什国宴呕吐昏厥才是真的尴尬……,703960,213,3193,1880,1510046348
环球时报,BV1Ax411n7zH,CNN之辩：该不该砸掉老祖宗的牌坊？,65937,837,489,1835,1503301661
环球时报,BV1mx411G7wz,"<em class=""keyword"">特朗普</em>又来：美国已做好“毁灭性”打击朝鲜的准备",137564,710,575,1816,1506481805
环球时报,BV14x411t7j5,维密超模Gigi歧视亚洲人遭抵制 网友拒绝其登台,152724,938,477,1711,1504173051
观察者网,BV1Ex411j7x4,博通公司CEO：我妈绝对想不到我能站在白宫 特朗普：我妈也是,2743774,600,10597,1648,1509867075
