author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1ZW411g7w1,特朗普和中国打贸易战，美国名嘴在电视上发飙了,3377217,4973,10898,8917,1521885461
观察者网,BV1BW411g7hh,"<em class=""keyword"">特朗普</em>打响对华贸易战！",759358,3438,3472,8423,1521771118
观察者网,BV1WW411T7DG,"美对华出口恐跌7成 豆农急忙上电视打广告劝<em class=""keyword"">特朗普</em>",465486,300,683,4894,1522671340
观察者网,BV1zW411L76c,叙利亚发射防空导弹 抵御英法美攻击,309656,370,1252,4527,1523705272
观察者网,BV1hW411L7qH,特朗普13日晚宣布，已联合英法军事打击叙利亚,250109,579,981,4131,1523672103
光明网,BV1Hp411f7ME,"川普要给教师配枪,教师说不要枪！我们要钱 哪个学生会相信一个带枪的老师！",304615,1079,925,3805,1525663335
光明网,BV1Hp411f7ME,"川普要给教师配枪,教师说不要枪！我们要钱 哪个学生会相信一个带枪的老师！",304615,1079,925,3805,1525663335
中国日报,BV1rW411g74c,美对华商品将大规模加征关税 我驻美大使霸气回应：奉陪到底！,209883,684,1051,3077,1521787297
观察者网,BV1hW411i7bR,"“你再拍<em class=""keyword"">特朗普</em>马屁就闭嘴”CNN主持人掐断白宫顾问发言",1081890,1342,4214,2967,1515394358
观察者网,BV1Xp411f7s4,伊朗议员高呼“美国去死！”并焚烧美国国旗,182864,1071,678,2753,1525857021
观察者网,BV1Xp411f7s4,伊朗议员高呼“美国去死！”并焚烧美国国旗,182864,1071,678,2753,1525857021
黄老邪N占星,BV1Xs411L7UV,【星座】上升星座关乎颜值的研究,469354,4491,4500,2727,1529997799
观察者网,BV1KW411G7up,"为了表达自己对持枪的支持，<em class=""keyword"">特朗普</em>还拿法国举了个例子~",156736,1204,661,2652,1525490124
观察者网,BV17W41147GQ,校园枪击案后 特朗普责怪电子游戏：影响年轻人想法,106240,457,491,2612,1519390509
