author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1B94y1Q7b6,“中国没有毒品问题！”特朗普说起了鸦片战争,7830193,24921,60250,11143,1658113171
RT今日俄罗斯,BV1Ed4y1D7f1,"<em class=""keyword"">特朗普</em>：只有男和女两种性别",1510914,1515,6121,9534,1658740971
波士顿圆脸,BV1K24y117Rj,十个小时涨8300万粉——你知道是谁,3253593,6021,11365,6213,1668948682
账号已注销,BV1NG4y187Ea,"特朗普访问灾民发盒饭，投卫生纸，女粉丝大喊:我爱你！<em class=""keyword"">川普</em>落泪",2715620,5282,18644,5019,1667696400
账号已注销,BV1NG4y187Ea,特朗普访问灾民发盒饭，投卫生纸，女粉丝大喊:我爱你！川普落泪,2715620,5282,18644,5019,1667696400
江平舟,BV1EN4y157Dm,终于，登子抄了特朗普老家,2670760,9794,12673,4856,1660049502
波士顿圆脸,BV1md4y1o7eo,外媒：懂王入监当选甚至可以在牢里赦免自己,1963660,17625,7058,4394,1660553596
环球网,BV1ka411S7Tu,"<em class=""keyword"">特朗普</em>：毒贩应该被判处死刑，中国就没有毒品问题",3656270,5122,16572,4385,1658113161
环球交叉点,BV1sr4y1L7xy,"高能输出！<em class=""keyword"">特朗普</em>炮轰佩洛西，骂了整整一分钟：疯婆子、病态、阴险、邪恶……",10101488,12860,97264,4127,1658829624
波士顿圆脸,BV1cv4y1c7xp,FBI公布抄家清单！美媒：定罪进监狱不妨碍当总统,1872063,20825,7047,3953,1660465742
中国日报,BV1vU4y1z7AY,特朗普说中国没有毒品问题，还提到鸦片战争,3641775,4578,26852,3486,1662450087
胖达粑粑,BV11t4y1j7cu,川普脱口秀9月3日：你们将见证一场史无前例的反噬,2261280,11770,32115,3447,1662277988
胖达粑粑,BV11t4y1j7cu,川普脱口秀9月3日：你们将见证一场史无前例的反噬,2261280,11770,32115,3447,1662277988
环球网,BV1HS4y1t7kd,特朗普炮轰跨性别举重运动员：我们国家好像有大病,3222369,1508,16794,3259,1658759423
DJTArchive,BV1QT411L7vd,"<em class=""keyword"">特朗普</em>最新宣传视频：美国正在衰败！我们给中国送了万亿财富！",1540684,9534,21226,3250,1660087800
秃头小超哥,BV1n24y1C7id,因为世界杯，卡塔尔躲过了灭国危机！,3679755,5982,18217,3225,1669155540
波士顿圆脸,BV1oP411V7T1,拜登向MAGA宣战：他们正在摧毁美国的根基,1907840,16620,5867,3168,1662276902
从众排行,BV1Dv4y197Ka,国人为什么都喜欢川普（中国人喜欢特朗普的十个理由）,3032540,2337,33126,3137,1670296474
从众排行,BV1Dv4y197Ka,"国人为什么都喜欢川普（中国人喜欢<em class=""keyword"">特朗普</em>的十个理由）",3032540,2337,33126,3137,1670296474
从众排行,BV1Dv4y197Ka,国人为什么都喜欢川普（中国人喜欢特朗普的十个理由）,3032540,2337,33126,3137,1670296474
南国资讯,BV1bg411r71h,"<em class=""keyword"">特朗普</em>开启反攻，FBI名声彻底被搞臭，总部大楼设栏防MAGA冲楼",2484290,3057,6973,3080,1660975482
胖达粑粑,BV13e4y1C7jC,"<em class=""keyword"">川普</em>脱口秀9月23日，再次向粉丝科普中国近代史",4222425,12244,45908,3024,1664026581
胖达粑粑,BV13e4y1C7jC,川普脱口秀9月23日，再次向粉丝科普中国近代史,4222425,12244,45908,3024,1664026581
评论员杜平,BV1rS4y147yw,"美国进入内战前声？<em class=""keyword"">特朗普</em>反守为攻，拜登或陷入下一个水门风波",1144694,5149,3151,2936,1660121084
波士顿圆脸,BV1WG4y1e7g9,FBI泄密：线人不但知道懂王藏什么绝密文件，藏哪都知道。,1628274,11499,5268,2752,1660378915
