author,bvid,title,play,video_review,favorites,review,date
波士顿圆脸,BV1nr421W7cs,"超级初选结果：Tremendous!黑莉在佛蒙特击败<em class=""keyword"">懂王</em>！",1393943,5532,3446,2518,1709721139
波士顿圆脸,BV1wC411b7Zc,"天降三十亿加马斯克呼吁“红潮”，<em class=""keyword"">懂王</em>神奇逆转",1760982,7258,6172,2394,1711534964
波士顿圆脸,BV1wC411b7Zc,天降三十亿加马斯克呼吁“红潮”，懂王神奇逆转,1760982,7258,6172,2394,1711534964
波士顿圆脸,BV1qf421m7ci,"2024总统辩论定了：<em class=""keyword"">懂王</em>挑衅站立辩论2小时，拜登能应战吗",1158289,7049,3842,2329,1715937350
戏京同志,BV1Ze411n72u,开年第十炸，拜特之战一触即发，王的复仇开始了！,2227163,5531,16093,2300,1706009176
戏京同志,BV1Ze411n72u,开年第十炸，拜特之战一触即发，王的复仇开始了！,2227163,5531,16093,2300,1706009176
Masumiiiiii,BV1pV41197J8,阿根廷新总统米莱上台后目前现状更新,137204,497,556,2247,1705895406
人畜无害小托比,BV1QM4m1C7ep,【俄方回忆录】续51.电磁弹射，电磁炮，全球第一的军费都去哪了,694265,3338,4149,2228,1715918400
树根龙门阵,BV1t64y137Ld,德州独立 美国内战2.0,1523126,4945,6330,2203,1706524548
小胡在隔壁,BV1nt421M7eh,特朗普又cue中国,1098750,355,1882,2171,1715733559
观察者网,BV1Tr421n7Wu,特朗普张嘴就来：中国现在是老大，美国只是中国的子公司,1011790,925,10241,2082,1710484101
麻薯波比呀,BV1CE421G7K3,杀人还要诛心？俄罗斯大办“北约武器展”,1346551,5227,7423,2069,1714989945
波士顿圆脸,BV1nm411Q7QY,"CNN:民调显示民众知道<em class=""keyword"">懂王</em>很极端，但是他们很喜欢",1344335,6835,4185,2048,1707212041
麻薯波比呀,BV1xj421X7J4,"不装了，通俄了？<em class=""keyword"">懂王</em>“鼓励”俄罗斯攻击北约欠费成员国",1967649,4410,12235,2028,1708053807
麻薯波比呀,BV1xj421X7J4,不装了，通俄了？懂王“鼓励”俄罗斯攻击北约欠费成员国,1967649,4410,12235,2028,1708053807
卢克文工作室,BV1d64y1E7VW,【卢克文工作室】美国政坛大戏：爱泼斯坦必须死！（合集）,1311072,7214,9431,2023,1704442891
゙7x,BV1jz42187gu,川普真情流露、希望拜登是一位伟大的总统,1182581,277,13794,2002,1719690262
゙7x,BV1jz42187gu,川普真情流露、希望拜登是一位伟大的总统,1182581,277,13794,2002,1719690262
有言再仙儿,BV1ze41127ft,"特朗普-非ban必选，<em class=""keyword"">川普</em>2024年美国总统的竞选之路",1317308,2741,7770,1904,1705114800
゙7x,BV1r1421o7HM,"2024 <em class=""keyword"">川普</em>落选会爆发内战吗？",502678,1091,9308,1904,1713267413
有言再仙儿,BV1ze41127ft,"<em class=""keyword"">特朗普</em>-非ban必选，川普2024年美国总统的竞选之路",1317308,2741,7770,1904,1705114800
゙7x,BV1r1421o7HM,2024 川普落选会爆发内战吗？,502678,1091,9308,1904,1713267413
GAKA是永远的太阳,BV1DN4y1J7Tm,德克萨斯州与共和党控制的其他26州已经做好万全准备，外州兵马已经陆续进入德州，国民警卫队在街头活动频繁!德州国民警卫队已经为可能到来的军事冲突开展了军事演习!,302689,811,1654,1879,1706410959
