author,bvid,title,play,video_review,favorites,review,date
波士顿圆脸,BV1pc411P72n,"无人证无物证，纽约判决快30年前<em class=""keyword"">懂王</em>性侵罪成",1820138,15043,5707,9610,1683799349
御上神,BV1Hs4y1C71H,庄严的美国空军精英毕业典礼，自由之翼的守护者，战鹰咆哮飞越赛场，超自信震撼的美式爱国主义！,688452,4895,12945,8588,1687274752
环球网,BV1cv4y1W7mV,外媒：特朗普被正式拘捕，成为美国历史第一位受到刑事罪名指控的前总统,2803735,1507,6592,8189,1680635843
梗懂王,BV1Nj411X7p6,"恶人先告状是什么梗【梗<em class=""keyword"">懂王</em>】",1681428,4518,5375,8040,1686561517
波士顿圆脸,BV1j24y157jG,"清明大战：<em class=""keyword"">懂王</em>被诉34项重罪 最高136年监禁",2436701,15527,10401,6820,1680685643
威廉喜儿,BV1LM411M71y,"<em class=""keyword"">川普</em>来到了他最忠诚的德克萨斯：中国不是我们的敌人，美国的腐败政客才是！",2911297,15151,18936,5955,1679894849
威廉喜儿,BV1LM411M71y,川普来到了他最忠诚的德克萨斯：中国不是我们的敌人，美国的腐败政客才是！,2911297,15151,18936,5955,1679894849
威廉喜儿,BV1LM411M71y,川普来到了他最忠诚的德克萨斯：中国不是我们的敌人，美国的腐败政客才是！,2911297,15151,18936,5955,1679894849
梗懂王,BV1ha4y1A7RJ,"牢大是什么梗【梗<em class=""keyword"">懂王</em>】",4551896,1872,7636,5896,1687665600
DJTArchive,BV1J24y1n7Ed,不同总统对待禁毒的区别,5918646,5148,61972,5721,1677308826
DJTArchive,BV1J24y1n7Ed,不同总统对待禁毒的区别,5918646,5148,61972,5721,1677308826
DJTArchive,BV1J24y1n7Ed,不同总统对待禁毒的区别,5918646,5148,61972,5721,1677308826
波士顿圆脸,BV1Xs4y1H7ST,"精彩纷呈：<em class=""keyword"">懂王</em>称其星期二要被逮捕掀起全美震动",1752740,10660,4805,5687,1679222632
青蜂侠-Bee,BV13g4y1W7AG,捐水发帽子买汉堡！特朗普造访“毒列车”事发地，痛批拜登政府“冷漠”,2124093,2768,7854,4269,1677116412
周德章频道,BV18T411B77N,这一次网民一片叫好，美国会出台554法案，“官二代”慌了,472623,1443,2686,4133,1680342729
