author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1zW411U7Yk,特朗普指责中国干涉美国选举，王毅当场给了个眼神！,6814708,10138,29690,8678,1538012070
共青团中央,BV1vt411d713,"<em class=""keyword"">特朗普</em>手机被监听？华春莹：用华为啊！",3536487,5093,28169,8008,1540466534
观察者网,BV1Zs41157wp,全美爆发大规模反特朗普游行：这不是我们的国家！,694751,1687,1136,5235,1530424345
共青团中央,BV19s411g7rB,马云怼特朗普的视频又火了,2265679,4915,26124,4169,1533687631
共青团中央,BV1EW411z7Vj,啥玩意儿？特朗普说美国也是“发展中国家”？,532894,1633,1409,3571,1537694380
观察者网,BV1rb411P7M6,特朗普：移民砸石头 我们就开火！,361780,953,1222,3427,1541131005
观察者网,BV14b411c7UR,"日本记者英语提问后，<em class=""keyword"">特朗普</em>：我真没太听懂…",1472490,2269,7443,3230,1541652781
观察者网,BV1TW411r723,“我是美国总统，又不是地球总统！”,2057884,1593,4321,2982,1537502015
观察者网,BV1Vt41127Rq,默克尔力挺马克龙：就是要建欧洲联军！,316796,1320,1417,2967,1542162925
共青团中央,BV1tW411f7pP,"<em class=""keyword"">特朗普</em>又双叒叕要退群了，这回是WTO",181052,342,370,2791,1535687285
观察者网,BV1ts411n7u9,美国小孩发表支持特朗普言论 被网友狂批：希特勒青年团！,343732,779,919,2682,1531125855
观察者网,BV1SW41117HQ,"<em class=""keyword"">特朗普</em>透露曾警告沙特国王：没美支持他掌权不超2周",212334,714,1154,2617,1538617833
观视频工作室,BV1Ps411G7yQ,"<em class=""keyword"">特朗普</em>是第一个承认美国衰落的总统，但他能当救世主吗？",222436,815,1402,2604,1533372538
观察者网,BV1Nt411B7g3,镜头前，3人吵了16分钟,785205,1542,4200,2560,1544587344
观察者网,BV1tb411c7zH,和特朗普“吵了一架”后，CNN记者被禁止去白宫了,593759,1751,2432,2497,1541648225
