author,bvid,title,play,video_review,favorites,review,date
广东共青团,BV1s4411j7GM,毫不遮掩了！“就是不允许其他国家超越美国。”,2540988,13622,9014,9566,1558343494
观察者网,BV1Mx411R7Hq,"<em class=""keyword"">特朗普</em>韩国行收到EXO签名专辑 伊万卡成最大&quot;赢家&quot;",433282,1557,1843,7719,1561861768
观察者网,BV1zt411p7uz,"“全知全能”<em class=""keyword"">特朗普</em>",3042129,8848,62024,6265,1547128099
观察者网,BV1sx411Z7Ef,"被骂智障后，<em class=""keyword"">特朗普</em>：敢动美国一根毫毛，铲平伊朗",3235487,5249,9876,5515,1561533729
观察者网,BV1Bt411s79U,全网首发！特朗普“铁墙演说”10分钟全程+民主党反击全程,495377,5812,5311,5122,1547015865
共青团中央,BV194411a7td,【中美经贸摩擦新闻七则】纽约股市三大股指大跌，美国大豆期货跌至逾10年来最低等七则,278111,2908,2214,4800,1557800752
观察者网,BV1u4411V7Hx,特朗普宣布竞选连任又提中国 立马遭CNN反驳,1469140,67,2048,4770,1560927740
观察者网,BV1vb411K7yV,特朗普：美国必须拿下5G这一仗,398312,1945,1306,4329,1555123854
观察者网,BV1Ab411k7YC,“美帝死死盯着委内瑞拉的石油，想要发动拉美越战”,235054,1386,990,4086,1548903087
观察者网,BV1T4411g7Ek,特朗普：现在人人都叫我和平鸽,1011876,4918,3927,4001,1561259502
观察者网,BV1g4411W7oR,德仁天皇英语流利惊到特朗普：你在哪学的英语？,3246109,2433,9024,3951,1559034133
观察者网,BV1b4411u75b,特朗普复盘为何最后关头取消对伊空袭：我不寻求开战,258228,1463,542,3625,1561175882
观察者网,BV1x441177ta,这位美国农民真相了！,681431,1572,2489,3497,1558093545
视界中国CM,BV1Q4411573M,"<em class=""keyword"">特朗普</em>又出狂言！6月底将向中国征收更多关税？美国人民快哭了！",1081667,1723,950,3322,1558517279
视界中国CM,BV1Q4411573M,特朗普又出狂言！6月底将向中国征收更多关税？美国人民快哭了！,1081667,1723,950,3322,1558517279
共青团中央,BV1r441177Z3,【美国耍无赖实录】美方为何出尔反尔还倒打一耙？它真正目的并非贸易这么简单！,319100,4583,3260,3309,1558106863
观察者网,BV1d4411T7g6,拍拍肩膀! 特朗普访英触碰女王被指严重失礼,2796373,1730,7433,3302,1559624022
观察者网,BV11t411p76e,80万人拿不到工资！联邦雇员白宫前抗议政府关门,248836,871,849,3260,1547200791
观察者网,BV1Ct411x7JG,"<em class=""keyword"">特朗普</em>：政府关门可能持续数年 考虑宣布紧急状态来建墙",312383,777,784,3194,1546666137
观察者网,BV1Ct411H7xu,"政府关门白宫员工不上班 <em class=""keyword"">特朗普</em>自费请客人吃快餐",1431270,1675,5211,3047,1547528257
共青团中央,BV1ex411d7jR,"<em class=""keyword"">特朗普</em>还要加税？这吓唬不了中国人民，我们从来不吃这一套！",1311111,69,3595,2922,1561639732
观察者网,BV1w4411M7xa,“伦敦哪有很多人抗议我啊？他们都在欢呼呢！”,647724,1342,2449,2852,1559662972
观察者网,BV1Tb411k7yi,"“上帝让<em class=""keyword"">特朗普</em>当总统的”",227559,1141,771,2787,1548910454
观察者网,BV194411N7iX,美前总统卡特：特朗普说中国在许多方面已经领先美国,628184,3478,2049,2777,1560165457
观察者网,BV1G4411M735,女子戳破&quot;特朗普宝宝&quot;气球：特朗普是最好的总统,542679,954,1128,2759,1559715592
观察者网,BV1b441137MN,伊朗公布击落美国无人机视频，特朗普：很难相信伊朗是故意的,458958,1526,973,2729,1561086104
观察者网,BV1ut411a7Hu,"为什么美国如此警惕墨西哥，<em class=""keyword"">特朗普</em>这墙非建不可？",668778,4804,5846,2623,1547805111
观察者网,BV1a441177NS,"<em class=""keyword"">特朗普</em>：惊！美国史上最烂市长要参加大选！",532422,962,1648,2463,1558088194
观察者网,BV114411M7D7,“美国空气最干净了”美国网友：特朗普怎么能撒谎成这样,488620,2265,956,2368,1559794062
观察者网,BV12b41157LD,“我爸问我要不要当世行行长，我拒了”,1307146,1375,4740,2354,1555573427
观察者网,BV1K4411Y7kH,“地好滑，一定是民主党想摔我！”,1398422,1639,6088,2342,1557381439
煌云,BV1gt4114766,【俄罗斯论坛】特朗普告诉苹果：离开中国，回家造手机，评论一边倒...,776814,1554,776,2332,1546742332
观察者网,BV1u441187qQ,特朗普：我就是C位上最靓的仔！,1055088,1580,5246,2276,1556529882
共青团中央,BV1ub411Y7FY,特朗普称安倍提名他为诺奖候选人？日方发言人：不予评论,249497,748,569,2189,1550634882
共青团中央,BV1ub411Y7FY,特朗普称安倍提名他为诺奖候选人？日方发言人：不予评论,249497,748,569,2189,1550634882
观察者网,BV1Db411s7ZS,宾州议会会前例行祈祷 惹恼穆斯林议员,280072,1483,905,2092,1553656979
观察者网,BV1Gt411a7om,"<em class=""keyword"">特朗普</em>：你不让我演讲，我不让你出国！",301859,821,1655,2058,1547790279
观察者网,BV1s4411u7Fw,"<em class=""keyword"">特朗普</em>：我要做总统直到“永远”",460746,939,1859,2054,1561187124
观察者网,BV1yt411W7ds,“民主党不喜欢混凝土墙，那我们就建个钢制墙吧！”,316665,673,887,2024,1546826170
观察者网,BV1P441137ni,人类的本质就是复读机？,455475,705,5560,2002,1561038231
观察者网,BV1gb41137hr,"<em class=""keyword"">特朗普</em>视察边境：国家满了，一个非法移民都收不下了，sorry~",353159,765,928,1960,1554513663
观察者网,BV1T4411b7UF,特朗普：美国将撤销在《武器贸易条约》上的签字,296500,1004,681,1954,1556333632
观察者网,BV1n4411G7E1,"白宫代理幕僚长几声咳嗽，<em class=""keyword"">特朗普</em>“发飙”：再咳就出去！",1104328,1421,1927,1938,1560780648
观察者网,BV1R441177vD,特朗普大骂媒体：全是XX,1156473,1968,3251,1892,1558171042
观察者网,BV1Db411q7yW,"绝症患者突然接到了<em class=""keyword"">特朗普</em>的电话，然后…",2235352,819,9788,1861,1551944978
观察者网,BV1Ab411p7sx,你叫停我，我就否决你！,273515,642,763,1845,1552698822
观察者网,BV1B4411J7DC,纽约市长参选：必须阻止特朗普！,363955,747,868,1800,1558007671
观察者网,BV1Ab411t7Gy,"<em class=""keyword"">特朗普</em>一签完字，以总理就跟记者抢起来了",224299,335,721,1746,1553566467
观察者网,BV134411L7rK,因她一句坏话，特朗普又上演“愤而离席”,352396,1015,658,1721,1558585200
观察者网,BV134411L7rK,因她一句坏话，特朗普又上演“愤而离席”,352396,1015,658,1721,1558585200
观察者网,BV1Tx411d7th,"考虑向越南加征关税 <em class=""keyword"">特朗普</em>：越南最恶劣",267913,389,611,1719,1561610066
观察者网,BV1Zb411T7Vm,特朗普发竞选“大片”，华纳兄弟：请撤下！,312489,1162,1901,1681,1554864095
观察者网,BV1Zb411T7Vm,特朗普发竞选“大片”，华纳兄弟：请撤下！,312489,1162,1901,1681,1554864095
观察者网,BV1ub411H7Lj,终于！美国也宣布停飞了,282890,490,602,1665,1552526569
观察者网,BV1Qb411t71f,"“骗子！种族主义者！”<em class=""keyword"">特朗普</em>前律师听证会秒变“爆料大会”",196580,930,1368,1662,1551331369
观察者网,BV1T4411W7NR,史上首次！安倍邀特朗普共登日本“加贺”号准航母,250318,758,733,1657,1559026181
观察者网,BV1Sx411d71s,"当G20东道主安倍向<em class=""keyword"">特朗普</em>伸出手...场面一度尴尬",517093,1140,1409,1591,1561695476
观察者网,BV1Ht41187Bj,特朗普为修墙妥协，然而民主党抢先一步直接拒了……,204224,522,442,1555,1547953476
深蓝UP,BV114411j7jN,各国小孩评价特朗普(童言无忌)高能预警！,3219146,3451,42679,1549,1558409690
深蓝UP,BV114411j7jN,各国小孩评价特朗普(童言无忌)高能预警！,3219146,3451,42679,1549,1558409690
观察者网,BV1e4411379j,特朗普想用此法对伊宣战 美国伊朗事务特别代表就是不答,227476,391,469,1545,1561117757
观察者网,BV1ot411p79L,美国政府又又又停摆，到底会给社会造成怎样的影响？,331881,2356,2026,1544,1547272819
观察者网,BV1Kb411p7x1,"<em class=""keyword"">特朗普</em>：2020年无论谁来参选我都一样对付",298962,788,570,1532,1552662398
观察者网,BV1c441177Ff,“一边制裁一边还想对话？特朗普疯了吧”,466115,363,754,1530,1558425274
观察者网,BV1S4411T7JR,"时隔一年，马克龙送给<em class=""keyword"">特朗普</em>的树死了",951060,654,3154,1509,1560047865
观察者网,BV1f4411M7ad,这俩又开始了,989199,1100,5115,1503,1559822581
观察者网,BV1Mx411d7Bp,"为这张溺亡父女的照片，<em class=""keyword"">特朗普</em>与民主党相互推诿",247390,284,533,1498,1561611713
观察者网,BV1Mx411d7Bp,为这张溺亡父女的照片，特朗普与民主党相互推诿,247390,284,533,1498,1561611713
观察者网,BV1c4411p7iC,默克尔这段哈佛演讲不提一句特朗普，但台下都听懂了,524231,188,2377,1474,1559284987
观察者网,BV1Db411K7Gs,民主党欢迎移民？特朗普：那我给你们送去，无限供应！,447932,344,926,1469,1555134362
观察者网,BV1Pb411K7HG,没人比我更......不了解维基解密了,314237,435,1894,1436,1555036903
观察者网,BV1Pb411K7HG,没人比我更......不了解维基解密了,314237,435,1894,1436,1555036903
观察者网,BV134411h79D,美共和党议员宣布改入民主党：因为特朗普,268771,458,643,1430,1556264194
观察者网,BV1p4411M7wD,特朗普这新帽子，可还行？,406958,1402,1893,1427,1559742276
观察者网,BV1rt41147nV,"<em class=""keyword"">特朗普</em>宣布重启政府三周 若建墙谈判仍失败将宣布紧急状态",186813,500,486,1423,1548468313
观察者网,BV1o4411n7mW,特朗普换发型？美国网友：这总统假的吧,636201,94,1113,1405,1559567181
观察者网,BV1o4411n7mW,特朗普换发型？美国网友：这总统假的吧,636201,94,1113,1405,1559567181
观察者网,BV1vb411t7sy,"大受欢迎！<em class=""keyword"">特朗普</em>兴奋挥舞越南国旗：真友谊",235789,351,705,1398,1551266856
观察者网,BV1Ut411p7gW,"<em class=""keyword"">特朗普</em>宣布取消达沃斯之行：中国更好打交道",418254,825,1037,1393,1547179475
观察者网,BV1z4411V76z,特朗普：没有人比我更会折磨人了,988573,1070,4842,1389,1560580301
观察者网,BV1o4411H7qc,"<em class=""keyword"">特朗普</em>：“弹劾”真是个肮脏，污秽，恶心的字眼",482086,241,952,1385,1559293290
观察者网,BV1b4411P7xm,特朗普：我可能会接受外国提供的竞选对手情报,239450,765,563,1343,1560424541
观察者网,BV1et411s7ys,"<em class=""keyword"">特朗普</em>：修墙还不是因为爱",114541,180,439,1339,1547003910
观察者网,BV1tb411i7av,撞上了！边上就是特朗普！,228459,199,571,1326,1552192443
观察者网,BV1h4411b7YJ,美加州犹太教堂枪击案致1死3伤，嫌犯或参与清真寺纵火,84845,308,184,1322,1556421217
观察者网,BV1J4411P7ho,"<em class=""keyword"">特朗普</em>邀波兰总统观看战机表演，F-35噪音太大吓到民众",272253,434,418,1317,1560403221
观察者网,BV1Cb411G7Tr,以色列总理一指：这块地叫“特朗普”,189539,508,679,1313,1556072891
观察者网,BV1Mb411W7s3,特朗普又双叒叕搞错父亲出生地,164468,509,604,1306,1554262832
观察者网,BV1Mb411W7s3,特朗普又双叒叕搞错父亲出生地,164468,509,604,1306,1554262832
观察者网,BV1v4411K7v7,一场纪念诺曼底的“冰冷会面”,346986,456,844,1264,1559874911
观察者网,BV1tt411p7Cu,又发脾气！佩洛西不同意给墙拨款 特朗普怒气冲冲转身就走,334811,765,972,1264,1547100011
WhatOnEarth一探究竟,BV1mx41197WU,【WOE】子宫战争：大洋彼岸的女性们，在经受着什么？,48997,5,644,1258,1561805571
观察者网,BV1it411t7we,真的不要瞎拍小视频……,2643432,618,7714,1226,1548655867
观察者网,BV1Rb411i7GU,白宫厨子上班了，但特朗普还是给球队叫了汉堡外卖,470914,389,1418,1217,1551753745
观察者网,BV1ab411j7P4,"<em class=""keyword"">特朗普</em>支招，法当局：听你的就塌了",192538,703,455,1209,1555383148
观察者网,BV1Yb411u72B,“哎呀呀！忘记穆斯林女议员不喜欢以色列了呢……我错了嘛”,702960,567,1991,1201,1554695171
观察者网,BV11t411H7Jv,"乱给<em class=""keyword"">特朗普</em>加特效 美国新闻编辑遭解雇",1237488,408,3372,1181,1547536758
观察者网,BV19x411o7Ao,"<em class=""keyword"">特朗普</em>宣布对伊朗最新制裁 直指最高领袖哈梅内伊",242022,309,425,1174,1561433661
观察者网,BV1eb411W7fn,特朗普威胁墨西哥：关边境，下周，不开玩笑！,243768,325,415,1159,1553919166
观察者网,BV1Mb411z7JS,熊抱国旗后，疯狂吐槽2小时,159473,733,900,1150,1551692613
微胖委员会,BV1zx411o7Pj,"知心姐姐指控<em class=""keyword"">特朗普</em>，试衣间对自己性侵3分钟，<em class=""keyword"">特朗普</em>：不认识她",282986,711,391,1147,1561425410
