author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1as411b7gb,美国小男孩接受采访时表示：去他妈的总统,12660656,5600,52441,10704,1484942583
环球时报,BV19x41167pk,美国把中国列入人口贩卖最严重国家之一 外交部：勿对别国说三道四,1273330,7848,3452,8921,1498640422
观察者网,BV1Dx411r7Zc,对特朗普不满的，还有霍金,536259,420,2800,3207,1490074097
湘潭吴彦祖c,BV1Bs41187kf,"告诉你什么叫智商碾压！支持<em class=""keyword"">川普</em>的美国黑人大叔以一敌百、舌战群白左！",942001,5612,11057,2675,1486120807
观察者网,BV1rx411D7dV,"<em class=""keyword"">特朗普</em>：中国对我们辣么好 你们假新闻良心不会痛吗！",2867718,5908,13529,2603,1492575731
观察者网,BV1bx411e7tR,"【退群！】<em class=""keyword"">特朗普</em>宣布美国退出巴黎气候协定",115523,752,749,2174,1496367942
观察者网,BV1sx411e72q,没事你退吧，气候问题大权就给中国好了,509967,924,1619,1723,1496317977
观察者网,BV1Jx411Y7dv,"面对台下50名伊斯兰国家领袖，<em class=""keyword"">特朗普</em>说了几句话",638715,3336,3691,1691,1495443289
观察者网,BV1Jx411Y7dv,面对台下50名伊斯兰国家领袖，特朗普说了几句话,638715,3336,3691,1691,1495443289
观察者网,BV1kx41117uH,我老川话就搁这儿了，禁穆令是常识！常识懂不？！,200324,237,834,1592,1486526060
环球时报,BV1Ex411v7pk,"普京：美国已经神经病了！拉夫罗夫，<em class=""keyword"">川普</em>给你的机密怎么不给我？！",4163517,1922,11857,1340,1495090940
环球时报,BV1Ex411v7pk,普京：美国已经神经病了！拉夫罗夫，川普给你的机密怎么不给我？！,4163517,1922,11857,1340,1495090940
观察者网,BV1ix411Y7iW,"在喜气洋洋的气氛中，<em class=""keyword"">特朗普</em>开始讨债了",1404132,3235,7413,1309,1495782209
爱毛妹学编程,BV1Ex411a7AT,俄罗斯女生到中国后很吃惊，中国人对普京的喜爱快超过他们本国了(￣▽￣)~,2128639,2804,4546,1258,1496713408
张召忠,BV1Us41187UB,"张召忠说35：<em class=""keyword"">特朗普</em>和军火商杠上了，F-35生死未卜？",243085,8173,647,1197,1483720662
环球时报,BV1ix411Y7Jj,特朗普：我才是老大！随时随地都要站center位！,1687549,1182,6809,1161,1495784361
观察者网,BV1hx411a7UY,"伦敦市长回击：不允许<em class=""keyword"">特朗普</em>分裂英国族群！",61406,226,217,1149,1496735107
观察者网,BV1as411b7r1,"【全网首发】<em class=""keyword"">特朗普</em>就职演讲双语熟肉",163860,4604,4730,1146,1484940450
观察者网,BV1as411b7r1,【全网首发】特朗普就职演讲双语熟肉,163860,4604,4730,1146,1484940450
张召忠,BV1Zx411k7eY,张召忠说41：特朗普画风突变大逆袭，修“长城”居然一呼百应？,220498,4986,579,1137,1488617689
张召忠,BV13x411m71w,"张召忠说50：	美国往朝鲜半岛派了个无敌舰队，<em class=""keyword"">特朗普</em>说比航母要厉害（百年潜艇）",153417,2903,388,1055,1493995504
观察者网,BV1Zx411Y7wp,见完特朗普，默克尔：德美互信已不再,206760,430,674,1029,1496023592
观察者网,BV1hs411b74K,"那些抗议<em class=""keyword"">特朗普</em>的人，真的知道自己在抗议什么吗？",409790,1174,1403,1017,1485079264
环球时报,BV1fx411h75k,"<em class=""keyword"">特朗普</em>宣布退出巴黎气候协议的8分钟演讲",65221,850,825,960,1496386962
共青团中央,BV1ts411b7kc,"观海走了，<em class=""keyword"">川普</em>来了，美国皿煮，往后咋煮？",119046,551,946,953,1485054088
观察者网,BV1Vs411h7Go,马云见特朗普 承诺为美国提供100万就业岗位,644279,919,2500,953,1484019927
柚子木字幕组,BV1xs41187rv,【TopTrending】5种可能导致世界毁灭的方式 @柚子木字幕组,130799,2142,1396,951,1485782212
环球时报,BV1Qx411S7mB,今天，美英俄拉着中国上演了一出琼瑶剧,1044539,4631,16843,939,1492093196
不良视号,BV1Dx411Q7Ha,特朗普公开喊话奥巴马“你被炒了”选民欢呼 - YouTube,1108310,1331,4148,927,1491450009
天下谈军SQ,BV1Vs41187nZ,"你以为<em class=""keyword"">川普</em>的边境墙只是防止墨西哥人偷渡么？",114610,142,332,908,1485566266
