author,bvid,title,play,video_review,favorites,review,date
波士顿圆脸,BV1Hh4y1D72f,"检察官向<em class=""keyword"">懂王</em>团队提交1150万页文件  77%共和党初选选民：迫害 ！",1251479,9976,5064,6096,1692706492
卢诗翰,BV1Tr4y1R7fv,阿根廷极右翼反女权总统即将上台,752778,6481,3458,5483,1692719458
波士顿圆脸,BV14C4y1V744,麦卡锡串通佩罗西，遭MAGA单枪匹马弹劾出局！,1518095,12022,5511,4823,1696412804
DZ-韩笑,BV1m8411C7bU,大型纪录片《IP属地传奇》,459787,291,3310,4743,1696422229
波士顿圆脸,BV1zw411e7t4,"<em class=""keyword"">特朗普</em>拜登都不行，你们美国人要选谁？| Overlap",1921631,12518,18817,4176,1695199500
波士顿圆脸,BV1zw411e7t4,特朗普拜登都不行，你们美国人要选谁？| Overlap,1921631,12518,18817,4176,1695199500
白宫茶话会,BV1xj411C7Gm,"<em class=""keyword"">川普</em>脱口秀9月8日：狱后首秀，王者归来！MAGA!",2312143,8924,27746,3746,1694269693
央视新闻,BV16P411a7u7,"<em class=""keyword"">特朗普</em>自首并拍摄大头照",2684280,1747,11239,3456,1692933500
波士顿圆脸,BV14p4y137WL,"NYT：民调显示0%的MAGA相信<em class=""keyword"">懂王</em>真的有罪，难道错的是我们？",1072895,2843,3804,3444,1691147604
波士顿圆脸,BV1394y187QV,"<em class=""keyword"">懂王</em>：那就当一会儿议长吧！有关人士紧急爆料：<em class=""keyword"">懂王</em>和澳商人畅谈核潜艇机密！",1395205,8769,3995,3173,1696671349
波士顿圆脸,BV1394y187QV,懂王：那就当一会儿议长吧！有关人士紧急爆料：懂王和澳商人畅谈核潜艇机密！,1395206,8769,3995,3173,1696671349
波士顿圆脸,BV16N4y187TB,"美最高法秒拒速审<em class=""keyword"">懂王</em>，律师：1150万页文件得2026年才看完",3356196,7721,4879,3139,1703419725
傅正_,BV17p4y1L74Z,讨论中俄关系时，要不要区分沙俄、苏联和俄罗斯？,400142,1429,8580,2991,1694167200
星辰趣味屋,BV1Ju411j7dw,富人逃税 穷人遭殃，国税局如何成为美国最强执法机构？,1224444,1585,7850,2688,1688868000
王小呆其实不呆,BV1TN411b7bC,特朗普参加家长会！那天他终于凑够了60块资料费（上）,4103630,1182,17015,2684,1696913154
麻薯波比呀,BV1ek4y1w71N,北有懂王南有疯王，“疯子”候选人领跑阿根廷大选？,1278278,9614,4989,2669,1694836800
波士顿圆脸,BV1DP411s7Gf,"712年零六个月刑期-第四次刑事起诉杀到 <em class=""keyword"">懂王</em>：你玩真的？！",927182,6608,2829,2594,1692279654
马督工,BV1CH4y1d7eu,"【睡前消息653】拜登<em class=""keyword"">特朗普</em>都支持，罢工还是很难赢",570114,5752,3997,2518,1696773750
bili_695831137,BV19x4y1o7v2,"<em class=""keyword"">特朗普</em>即将颠覆美国的极左政策",369971,272,4450,2406,1689289200
江平舟,BV1Gz4y1j7NQ,美国公布宏大计划：模仿中国一带一路,337247,3039,846,2369,1694340384
波士顿圆脸,BV1Gw41167qW,"<em class=""keyword"">懂王</em>：没人比我更懂以色列，民主党才是哈马斯",1009633,5614,3205,2259,1697537829
浅水凡小代,BV1mz4y1T7b6,"<em class=""keyword"">特朗普</em>保释离开佐治亚监狱护送车队声势浩大",1646247,1780,6644,2096,1693047725
麻薯波比呀,BV13N4y187vN,懂王失去竞选资格？美利坚反向“依法治国”,1428610,3616,4453,2061,1703148090
麻薯波比呀,BV13N4y187vN,懂王失去竞选资格？美利坚反向“依法治国”,1428610,3616,4453,2061,1703148090
棱镜Talk,BV1p94y1i7Bz,为了毁掉特朗普，他们搭上了好莱坞以及美国的未来【棱镜视野】,2647050,4708,23022,1951,1689321824
环球网,BV1yN4y1f7Lu,"如何对付“零元购”？ <em class=""keyword"">特朗普</em>：“如果你抢劫，走出门就会被枪击”",750965,515,1165,1924,1696130497
棱镜Talk,BV1ZN41137GK,巴以冲突如何影响美国大选？拜登焦头烂额，特朗普乘胜追击,1789903,6284,6738,1898,1699009807
燕三嘤嘤嘤,BV1GP411Y7Ww,"<em class=""keyword"">懂王</em>和拜登都在愁什么？",1682787,10128,19349,1891,1693108200
青蜂侠-Bee,BV1uC4y177mE,“阿根廷特朗普”米莱赢得大选 此前称要关闭央行、全面“美元化”,148095,205,294,1869,1700445921
观察者网,BV1kp4y1V7ct,"【老贾评】最高刑期641年，<em class=""keyword"">特朗普</em>面临78项重罪指控！",531516,339,1772,1864,1691069400
观察者网,BV1Lp4y1c7m6,从美国汽车工人罢工看拜登和特朗普的“工人阶级拉票战”【逸语道破】,418779,1268,2310,1793,1695892086
