author,bvid,title,play,video_review,favorites,review,date
观察者网,BV1mf4y157uS,"<em class=""keyword"">特朗普</em>炮轰跨性别运动员参加女子项目：他们在夺走女性的权利",3437988,7658,20943,11039,1627276654
共青团中央,BV1CQ4y1r7pj,"“<em class=""keyword"">特朗普</em>来电”：我们的国家将在三年内消失",2428518,6244,16825,6778,1631794799
观察者网,BV1ST4y1Z72i,特朗普支持者：PRC是啥？只要不是中国制造，我们就赢了,2932418,2214,10965,5278,1633067898
波士顿圆脸,BV1ho4y1Q7oL,"美德尔塔变异飙增，<em class=""keyword"">懂王</em>：MAGA会拯救美国！",1599542,21701,20867,4764,1627358432
星霜酱,BV1CQ4y1z7SC,【窜稀】拜登拉裤子里了 当着全世界的记者,2726818,6279,8550,4554,1632354911
观察者网,BV1Hg41157CC,“美国史上最尴尬”，特朗普称中国正因阿富汗笑话美国,1369234,6433,4133,4247,1629267901
观察者网,BV15A411F72w,消化一下：强奸也得生下来，美国女人为什么“堕胎难”？,1254819,9314,5809,4158,1631097169
一心博士,BV1534y1Z7Vr,变性将军、强暴无罪、56种性别，政治正确毁掉美国！【一心博士】,766568,8604,6023,4035,1636629052
Meetfood觅食,BV1nh411r7oA,"在<em class=""keyword"">川普</em>私人餐厅吃饭是什么体验？懂王：没有人比我更懂牛排",4087491,50977,18635,3813,1627123208
波士顿圆脸,BV1zb4y167Wf,美逮捕偷渡超百万 懂太子妃：MAGA上街啦！,1304534,9096,5013,3112,1626670304
划水獭,BV16P4y1Y7uL,『D4C』本人特朗普！已经拿起最初的那条餐巾了！,4337024,1258,43040,3008,1631405044
神秘动物大揭秘,BV1D64y197Aa,美国小学生街头采访：力撑特朗普，说话流利清晰  这思维666,1043187,2978,12392,2891,1625213848
司马南,BV1yB4y1T7ot,"司马南：云南快速修建500公里智慧边境墙，<em class=""keyword"">特朗普</em>馋哭了……",735819,6143,1768,2774,1625828418
观察者网,BV1T64y1X7bt,"<em class=""keyword"">特朗普</em>宣布起诉脸书推特谷歌：这些科技巨头已经失控",715995,3082,2756,2747,1625708866
东风压倒西风丶,BV1By4y1G7ei,"<em class=""keyword"">特朗普</em>说&quot;中国(China)&quot;合集(五小时版)(DonaldTrump says China)",733150,5176,19342,2472,1630340728
东风压倒西风丶,BV1By4y1G7ei,特朗普说&quot;中国(China)&quot;合集(五小时版)(DonaldTrump says China),733150,5176,19342,2472,1630340728
小宇委员同志,BV1Q64y1h71e,[Made in Heaven]再说最后一遍，民主要加速了,10232679,4310,180340,2425,1631246944
小宇委员同志,BV1Q64y1h71e,[Made in Heaven]再说最后一遍，民主要加速了,10232679,4310,180340,2425,1631246944
留学生日报,BV18f4y1n7Uw,"<em class=""keyword"">特朗普</em>：2024我必须回来…（不然）美国会在三年内灭亡",998660,15818,3561,2404,1631851675
知日酱,BV1WQ4y1z7RX,拜登疑似在记者见面会上窜稀，特朗普：美国正在成为粪坑！美国网友：整个屋子都是他的屎味,1141969,3331,5410,2339,1632384910
观察者网,BV1qv411T7bN,特朗普称拜登是史上最差总统,614754,2093,2248,2324,1635748315
观察者网,BV1YL4y1q7Ch,拜登替特朗普政府向全世界道歉,818809,1161,1661,2293,1635817148
观察者网,BV1zM4y137ds,拜登称将为喀布尔机场死去美军复仇，并“甩锅”特朗普,524556,2470,862,2278,1630034144
观察者网,BV1Zh411x7Xz,特朗普获跆拳道荣誉黑带九段：再次当选将穿道服去国会,894611,924,2797,2132,1637650006
观察者网,BV1rh411p7KE,被问美军最高将领是否叛国？五角大楼发言人惊了,1023368,1356,2241,1985,1631767075
共青团中央,BV1xf4y1u7mc,特朗普称拜登是史上最差总统,606329,1359,2111,1973,1635767213
共青团中央,BV1MQ4y1r7k7,账号被禁用之后，特朗普：推特现在变得非常无聊,1100622,1105,3535,1927,1631427604
观察者网,BV15L411g7Qo,美财长：物价确实高，正考虑降低对中国的部分关税,513315,2194,815,1914,1636978263
观察者网,BV1cb4y1S7A9,仓皇撤离阿富汗的美国：不是俺们不给力，奈何“友军”太无能【逸语道破】,983166,20265,8146,1911,1629359421
留学生日报,BV17U4y1J72D,男变女变性人参加奥运会，特朗普怒喷：不公平！,225329,6357,852,1895,1627720778
国仁全球大学堂,BV17L4y1q7ia,温铁军：中国搭了全球化便车？错！是全球资本搭了中国的便车【温铁军践闻录5-22】,646197,7673,16691,1773,1636106403
风声君,BV1Q44y1q7Pz,绝活！美媒发布全球抗疫排名：美国NO.1！特朗普正式回应：2024年参加大选，爷青回！【沙雕故事51】,1764643,8122,12559,1768,1625713219
马督工,BV1tU4y1N7t3,"【睡前消息330】悬赏500万$抓中国人，拜登想超越<em class=""keyword"">特朗普</em>",647351,7789,4084,1721,1632221718
风声君,BV1p44y1271m,逆天！东京奥运会将无观众举办！网友：每人众筹60元弥补奥运会损失？美国废墟旁捡到了一只猫，令人暖心！【沙雕故事52】,746404,6254,3915,1689,1626143416
观察者网,BV1Ri4y1d73L,"<em class=""keyword"">特朗普</em>称外交抵制让美国像个“输不起的人”",449155,1321,1118,1661,1639978037
观察者网,BV1nR4y1n7hd,特朗普称自己有一张想拯救美国的嘴：这不叫大嘴巴，叫说实话,500472,1854,2131,1629,1632799971
观察者网,BV1c64y1q7j7,"美媒爆<em class=""keyword"">特朗普</em>政府官员为推翻选举结果，称中国用恒温器干涉大选",395089,860,473,1626,1628672249
账号已注销,BV1og41157HJ,你有很多事放不下？,1780806,1084,21143,1615,1629595788
青蜂侠-Bee,BV17f4y1P7qR,特朗普谈总统生涯最大困难：不是中俄，是美国和民主党那些疯子！,1405504,1053,5758,1591,1631489258
每日热搜,BV1g64y1x7qM,史无前例！东京奥运首次有跨性别者参加女子举重，这算作弊吗？,201935,553,258,1575,1627379804
螳螂捕财,BV1Vf4y1P7EP,无耻富豪爱泼斯坦，坐拥神秘萝莉岛，圈养少女，提供性交易给美国有钱人！,1105750,1820,6005,1563,1631180729
视知,BV1Lb4y1Y7CV,Q，如何凭一己之力搞乱美国？【视知研究所】,3500258,4897,14690,1537,1634302483
赛雷话车,BV19h411z74Q,洗衣粉事件重演，美国再炒新冠实验室泄露论,575565,3691,8657,1516,1627989915
中国日报,BV1Bb4y1U7ZH,迷惑发言？时隔一年才真正明白“懂王”内涵,676549,839,5373,1493,1628760328
中国日报,BV1Bb4y1U7ZH,迷惑发言？时隔一年才真正明白“懂王”内涵,676549,839,5373,1493,1628760328
四川观察,BV1X3411177Z,担心特朗普对中国开战，美军最高将领曾两次秘密致电中国军方,1575958,776,5082,1479,1631717697
观察者网,BV1aT4y19753,缩水版基建法案获通过，拜登讲话又提中国,475650,1237,812,1452,1636256220
司马南,BV1cL411n7LE,司马南：变性人拿下女子举重冠军，特朗普疾呼有失公平,167747,1980,356,1440,1627648210
观察者网,BV1jD4y1c7JL,2021美国“民主灯塔”10大尴尬事件,662080,3603,4129,1431,1640144422
观察者网,BV1gL4y1Y7RS,"<em class=""keyword"">特朗普</em>被支持者嘘了",591062,624,1376,1410,1629699800
观察者网,BV1BA411F7m6,人为灾难！仅8月就有20万人非法入境美国，拜登下令驱逐,547710,795,628,1403,1632024317
风声君,BV1iA411F76x,"绝了！时隔多月，<em class=""keyword"">特朗普</em>支持率成功反超拜登！美国网友：假新闻！印度法官神提议：应将牛定为印度国家动物！【沙雕故事62】",824673,2968,3056,1370,1631242802
席亚洲,BV1Mr4y1S7Rh,观棋有语180：薇娅的13个亿和特朗普的60万亿,283245,5237,936,1370,1640131271
观察者网,BV15g411A787,“美国会好起来吗?” 拜登称被各国领导人问美国民主是否会好,410567,1851,1056,1348,1639881517
观察者网,BV15g411A787,“美国会好起来吗?” 拜登称被各国领导人问美国民主是否会好,410567,1851,1056,1348,1639881517
观察者网,BV1PL4y1H7KW,美国这场“争取民主”的奇葩峰会，注定成为民主的悲剧【逸语道破】,777536,13458,6180,1344,1638792015
风声君,BV1ab4y1S7o7,"绝了！拜登撤军引众怒，<em class=""keyword"">特朗普</em>发文：美国历史上最大的失败之一！印度将要花100万亿卢比搞基建，背后的原因...【沙雕故事59】",810182,4439,4706,1330,1629423013
观察者网,BV1yQ4y1y7to,特朗普想在911和拜登打拳击：几秒就能KO他,409116,476,1307,1322,1631256669
波士顿圆脸,BV1sb4y1h7ps,"CNN：<em class=""keyword"">懂王</em>十宗罪！民调：六成选民根本不听",869162,5701,2578,1313,1634700255
卢克文工作室,BV1oo4y1X7kd,【卢克文工作室】今天的犹太人到底是一群什么人？富豪热衷变犹太裔，犹太裔为啥这么香？,1191512,5754,8342,1308,1626146869
观察者网,BV15v411G799,美方怀疑普京故意挑选美女翻译分散特朗普注意力，俄罗斯回应,744638,517,1663,1300,1632890359
账号已注销,BV1zL411H7fL,又跪下了！拜登突然向以色列官员下跪，美国人脸被丢尽：下台,1714820,2864,2882,1296,1626335223
观察者网,BV1vP4y1t7y3,前顾问透露特朗普离任后变化：瘦了约20斤、晒黑了、更快乐了,1322276,1047,4292,1287,1634197843
观察者网,BV1r64y1e7b5,"<em class=""keyword"">特朗普</em>再就阿富汗炮轰拜登：美国史上最大的外交政策之耻",457464,1246,1028,1280,1629618356
观察者网,BV1HQ4y1f7AR,"喊错普京后，拜登又误把奥巴马说成<em class=""keyword"">特朗普</em>",532628,914,1771,1278,1627536440
风声君,BV15P4y1t72G,离谱！“网友”尬吹英国下水道系统不会水涝！结果.....【沙雕故事55】,674050,2933,3694,1272,1627525803
央视网,BV1eP4y1b7VK,"<em class=""keyword"">特朗普</em>先生 有人模仿你的一切！",1355560,407,9101,1248,1635230086
观察者网,BV1sP4y1Y7uz,特朗普爆料扎克伯格过去老来白宫拍我马屁,485391,1244,1332,1246,1631415711
国仁全球大学堂,BV1VM4y1M7G2,温铁军：美国用了二十年，打造了收割全球的金融利器【温铁军践闻录5-8】,733196,4985,15701,1234,1625220004
风声君,BV1cP4y1p7mi,佛了！美媒爆料：美国多人服用兽药来治疗新冠！日本疫情严重，日媒：可以参考印度抗疫方式！印度专家：？【沙雕故事60】,587178,3056,3275,1198,1629856816
观察者网,BV15341167yf,美前官员：要是特朗普在，阿富汗就不会这样…,459354,1104,809,1184,1629265467
观察者网,BV1jL411x78T,特朗普任命的18名官员被要求辞职：需与本届政府价值观一致,249494,436,513,1168,1631168828
GeoglePlay,BV14L411W7ta,现在漫展怎么越来越离谱了...？？？,3481045,2401,13852,1159,1626007551
观察者网,BV1Hb4y1v74Q,拜登给特朗普下战书：你参加2024年大选，我就更想连任,447778,817,993,1153,1640232394
沈逸老师,BV1hv411u7bu,班农又要“进去了”？“藐视国会”背后是美国无解的党争【逸语道破】,674052,2734,3784,1149,1635150829
留学生日报,BV1dV411p7WY,美国抗疫全球排第一？脸都不要了……,217735,2276,1217,1071,1625121156
观察者网,BV1YP4y1b758,佩洛西拒绝提特朗普的名字：“那个谁”当总统的时候……,323451,792,463,1068,1635149595
烟火娱乐说,BV1cf4y1P71r,特朗普儿子的颜值也太逆天了，被誉为“亿万美元宝贝”，在66层豪宅里打高尔夫，邀请全班同学到白宫开派对，巴伦：美国名媛的终极梦想,5819521,2579,16022,1048,1631157764
凤凰网,BV1Dq4y1H7Ed,特朗普抨击跨性别运动员：你知道这太不公平了！,263824,407,1141,1034,1627293581
第一军情,BV1SU4y1J7Bs,"美国教授不愿隔离，自称遭中国“绑架”，喊话美使馆和<em class=""keyword"">特朗普</em>求救",193915,1825,229,1025,1628588993
观察者网,BV1QL4y1H7oF,一边开会一边被打脸  原来拜登要的是这样的“民主”【逸语道破】,667032,7408,4582,1019,1639385594
观察者网,BV17b4y117T1,美军最高将领：我确信特朗普不会攻击中国,718714,417,1693,1017,1632880544
孤烟暮蝉,BV1DP4y1G7hG,维护军工利益集团 鼓励底层民众内斗的美国制度,75161,2191,413,1008,1637410139
长安赵子文,BV1yb4y117Nt,沁园春•美国,758917,1619,23906,1002,1630637143
观察者网,BV1fq4y1V7YF,"扎心了，<em class=""keyword"">特朗普</em>访问沙特收到的礼物，是假货...",849910,813,1332,990,1634025445
观察者网,BV1tK4y1M78r,逸语道破：坎贝尔公开称不支持“台独”  美国对台湾的爱还有多深？,696914,2598,4277,956,1625752815
观察者网,BV1MT4y1d7xU,一个班出来的？美州长语气手势与特朗普神同步,389834,429,1618,947,1635250295
