author,bvid,title,play,video_review,favorites,review,date
我是郭杰瑞,BV18r4y1T7Y7,"<em class=""keyword"">特朗普</em>粉丝暴力攻占国会！街访美国路人如何看？",5161446,40502,27703,13175,1610075754
留学生日报,BV1754y147S1,中国人别乐了，那个封杀了特朗普的“美国”更可怕！,5793084,29464,100812,10878,1610366279
酒痴东梦,BV12V411q7j9,呸！这才是新冠病毒的源头？！知情者惨遭暗杀！【说点“梦”话】,2460713,19515,60570,7212,1611288988
观察者网,BV1bb4y1X7zL,3分半看完特朗普“复出”演讲：你们想我了吗？,2156040,12902,13950,6369,1614570040
观察者网,BV155411n7xj,上千名日本民众在东京游行支持特朗普,925433,4112,2819,6009,1610086590
估读人生,BV1tT4y1P7HH,"震惊！<em class=""keyword"">特朗普</em>与迈克尔杰克逊友谊感天动地。同悲共喜，是生死之交。看完这些<em class=""keyword"">特朗普</em>为人不知的故事，吃瓜",2768125,9117,65599,5659,1612358756
观察者网,BV1Lr4y1T7EC,终于…特朗普称新政府将于1月20日就职,1767996,4594,4631,5404,1610071243
观察者网,BV1d64y1Z7Aa,"【懂点儿啥】<em class=""keyword"">特朗普</em>：撤！川粉：臣等正欲死战，陛下何故先降？",2467531,21001,20111,5187,1610272808
共青团中央,BV16A41137yU,特朗普：“我们将夺回参议院，夺回众议院，夺回白宫，而且比你们想象的更快……”,1259334,4124,4920,5123,1623038468
观察者网,BV1254y1H7wp,"<em class=""keyword"">特朗普</em>卸任后首场集会：拜登是“彻底的灾难”，中俄伊在羞辱美国",1759549,14047,8704,4986,1624847403
观察者网,BV1Dh411S7dq,"<em class=""keyword"">特朗普</em>作客海湖庄园婚宴：中国从没这么对过我们…",3633064,4537,15331,4919,1616992229
罗根同学,BV1Xv411574Q,"这货凭啥当总统？疫情期间不让百姓戴口罩 老婆孩子都不放过 巴西<em class=""keyword"">特朗普</em>——博索纳罗的传奇一生",2497382,5738,14341,4853,1621326470
观察者网,BV1fr4y1N7Wx,特朗普离开白宫， 临走前：“希望这个再见不会太久”,1478280,3025,5488,4844,1611158319
沈逸老师,BV1yA411M7nt,【逸语道破】86页报告扬言“揍中国”，美网友：除非美国跑步进入社会主义,1379382,40626,9391,4441,1613916017
央视新闻,BV1YA411W7Dy,一片混乱！特朗普支持者集会示威闯入美国国会,1592846,5397,5582,4322,1609979163
账号已注销,BV17y4y1m7TU,得克萨斯州将举行“脱美”公投，数州响应独立，美国正走向分裂？,1132327,4874,2716,4291,1610791252
